IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,TOTAL_FLIGHTS,UNITED_FLIGHTS,DELTA_FLIGHTS,AMERICAN_FLIGHTS,OTHER_FLIGHTS,UNITED_IN_DELAY,DELTA_IN_DELAY,AMERICAN_IN_DELAY,OTHER_IN_DELAY,UNTED_OUT_DELAY,DELTA_OUT_DELAY,AMERICAN_OUT_DELAY,OTHER_OUT_DELAY
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631,1757,0,0,0,1757,,,,5.870967741935484,,,,4.844649021864211
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944,2686,0,0,0,2686,19.16140350877193,,,10.288590604026846,23.8397212543554,,,-0.975095785440613
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723,1179,0,0,0,1179,,,,-3.615780445969125,,,,-1.2646048109965635
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586,4726,0,0,0,4726,,,,4.471315092674316,,,,2.3135518157661648
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766,1710,0,0,0,1710,,,,4.058608058608058,,,,1.9197080291970803
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746,1335,0,0,0,1335,,,,-3.9625,,,,-6.089644513137558
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963,14334,0,0,0,14334,34.0,-9.746031746031745,,9.93544038346315,45.5,1.6687898089171975,,11.641817909104544
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031,5954,0,0,0,5954,8.362745098039216,9.897727272727273,,8.923416789396171,-3.386138613861386,-8.348314606741573,,6.730141054194506
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,33653,0,0,0,33653,12.98804780876494,0.44393112137757246,6.437616387337058,5.960751374465485,11.085487077534792,-3.3956228956228958,-2.441340782122905,0.6637059724349158
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585,37779,0,0,0,37779,,,,4.592321361262183,,,,3.1429805149241647
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,172164,0,0,0,172164,7.907157326130992,-0.22904769254514584,6.845888724766125,3.5873475674377198,4.146869712351946,2.0298530549110594,4.592702169625246,8.005984220851623
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,7209,0,0,0,7209,8.529498525073747,0.08256029684601113,,2.107853982300885,6.487444608567208,1.4304267161410018,,0.21864594894561598
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954,10299,0,0,0,10299,,1.2507403751233959,,11.52651139742319,,-2.9158415841584158,,10.367280876494023
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247,12198,0,0,0,12198,,-0.38922155688622756,,6.6719724671972465,,-4.0344827586206895,,1.0758620689655172
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858,1146,0,0,0,1146,,,,7.278947368421052,,,,1.0017482517482517
